penalty,C,class_weight,n_nonzero_coefficients,n_total_coefficients,roc_auc,pr_auc,brier_score,prevalence,pr_auc_no_skill_baseline,log_loss
l2,0.01,,56,56,0.57298,0.122098,0.086138,0.0958,0.0958,0.312864
l2,0.1,,56,56,0.571213,0.121591,0.086232,0.0958,0.0958,0.313591
l2,1.0,,56,56,0.570053,0.121022,0.086277,0.0958,0.0958,0.314004
l1,0.01,,3,56,0.586371,0.117974,0.086333,0.0958,0.0958,0.314002
l1,0.1,,31,56,0.577535,0.123267,0.086071,0.0958,0.0958,0.312423
l1,1.0,,51,56,0.570581,0.121169,0.086248,0.0958,0.0958,0.313787
elasticnet,0.01,,8,56,0.588533,0.123941,0.086074,0.0958,0.0958,0.312448
elasticnet,0.1,,42,56,0.574215,0.122863,0.086133,0.0958,0.0958,0.312852
elasticnet,1.0,,53,56,0.570253,0.121029,0.086264,0.0958,0.0958,0.313915
