clinical_burden_band,n,positives,prevalence,mean_probability,median_probability,threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,fnr,tp,fp,fn,tn,roc_auc,pr_auc,brier,low_pct,moderate_pct,high_pct,moderate_plus_rate,high_rate
0,3938,423,0.107415,0.093793,0.070726,0.105986,0.774759,0.645074,0.233333,0.479905,0.810242,0.313998,0.189758,0.520095,203,667,220,2848,0.694076,0.259409,0.089605,0.779076,0.168106,0.052819,0.220924,0.052819
1,3849,471,0.122369,0.119388,0.086718,0.105986,0.669525,0.630839,0.202673,0.579618,0.68206,0.30033,0.31794,0.420382,273,1074,198,2304,0.688202,0.299504,0.098495,0.650039,0.25617,0.093791,0.349961,0.093791
2,1608,277,0.172264,0.153876,0.107964,0.105986,0.568408,0.639236,0.249097,0.747292,0.53118,0.373646,0.46882,0.252708,207,624,70,707,0.69977,0.390015,0.12878,0.483209,0.337687,0.179104,0.516791,0.179104
3plus,605,136,0.224793,0.197165,0.130191,0.105986,0.459504,0.601789,0.275294,0.860294,0.343284,0.417112,0.656716,0.139706,117,308,19,161,0.735827,0.559009,0.139329,0.297521,0.452893,0.249587,0.702479,0.249587
