model,roc_auc,pr_auc,brier_score,prevalence,pr_auc_no_skill_baseline,log_loss,hyperparameters,train_roc_auc,validation_roc_auc,train_pr_auc,validation_pr_auc,overfitting_flag,pr_enrichment,true_positives_@0.50,false_positives_@0.50,false_negatives_@0.50,true_negatives_@0.50,precision_@0.50,recall_@0.50,specificity_@0.50,f1_@0.50,accuracy_@0.50,balanced_accuracy_@0.50
logistic_regression,0.699301,0.32877,0.09267,0.1174,0.1174,0.324678,"{""C"": 0.01, ""class_weight"": null}",0.705308,0.699301,0.344785,0.32877,False,2.8004,128,59,1046,8767,0.684492,0.109029,0.993315,0.188097,0.8895,0.551172
random_forest,0.689716,0.317605,0.20009,0.1174,0.1174,0.593887,"{""n_estimators"": 400, ""max_depth"": 6, ""min_samples_split"": 2, ""min_samples_leaf"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced""}",0.747904,0.689716,0.386259,0.317605,False,2.7053,554,1491,620,7335,0.270905,0.471891,0.831067,0.344206,0.7889,0.651479
xgboost,0.689284,0.319847,0.093464,0.1174,0.1174,0.327179,"{""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.02, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0, ""reg_lambda"": 1, ""scale_pos_weight"": null}",0.760831,0.689284,0.41514,0.319847,False,2.7244,145,85,1029,8741,0.630435,0.123509,0.990369,0.206553,0.8886,0.556939
hist_gradient_boosting,0.691499,0.320253,0.203174,0.1174,0.1174,0.600441,"{""max_iter"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""class_weight"": ""balanced""}",0.745305,0.691499,0.390063,0.320253,False,2.7279,598,1850,576,6976,0.244281,0.50937,0.790392,0.330204,0.7574,0.649881
